url,title,byline,published_at,source_feed_url,source_feed_timestamp
http://fivethirtyeight.blogs.nytimes.com/2010/08/25/new-forecast-shows-democrats-losing-6-to-7-senate-seats/,New Forecast Shows Democrats Losing 6 to 7 Senate Seats,NATE SILVER,2010-08-25T16:45:08+00:00,https://fivethirtyeight.blogs.nytimes.com/feed/,20100826075621
http://fivethirtyeight.blogs.nytimes.com/2010/08/25/welcome-and-welcome-back/,Welcome (and Welcome Back) to FiveThirtyEight,NATE SILVER,2010-08-25T15:25:49+00:00,https://fivethirtyeight.blogs.nytimes.com/feed/,20100826075621
http://fivethirtyeight.blogs.nytimes.com/2010/09/01/in-targeting-murkowski-tea-party-chooses-wisely/,"In Singling Out Murkowski, Tea Party Chose Wisely",NATE SILVER,2010-09-01T12:00:59+00:00,https://fivethirtyeight.blogs.nytimes.com/feed/,20100902103921
http://fivethirtyeight.blogs.nytimes.com/2010/08/31/how-did-democrats-get-here/,How Did Democrats Get Here?,NATE SILVER,2010-08-31T21:20:00+00:00,https://fivethirtyeight.blogs.nytimes.com/feed/,20100902103921
http://fivethirtyeight.blogs.nytimes.com/2010/08/31/the-democrats-new-normal/,The Democrats' New Normal,NATE SILVER,2010-08-31T11:27:26+00:00,https://fivethirtyeight.blogs.nytimes.com/feed/,20100902103921
http://fivethirtyeight.blogs.nytimes.com/2010/08/30/a-closer-look-at-the-second-quarter-g-d-p/,A Closer Look at the Second Quarter G.D.P.,HALE STEWART,2010-08-30T16:18:10+00:00,https://fivethirtyeight.blogs.nytimes.com/feed/,20100902103921
http://fivethirtyeight.blogs.nytimes.com/2010/08/30/with-increase-in-partisanship-fewer-surprises-likely-in-governors-races/,"With Increase in Partisanship, Fewer Surprises Likely in Governors' Races",NATE SILVER,2010-08-30T15:11:34+00:00,https://fivethirtyeight.blogs.nytimes.com/feed/,20100902103921
http://fivethirtyeight.blogs.nytimes.com/2010/08/27/in-nevada-no-one-is-someone-to-watch/,"In Nevada, No One Is Someone to Watch",NATE SILVER,2010-08-27T20:22:55+00:00,https://fivethirtyeight.blogs.nytimes.com/feed/,20100902103921
http://fivethirtyeight.blogs.nytimes.com/2010/08/26/a-closer-look-at-alaska/,A Closer Look at Alaska,NATE SILVER,2010-08-26T21:30:57+00:00,https://fivethirtyeight.blogs.nytimes.com/feed/,20100902103921
http://fivethirtyeight.blogs.nytimes.com/2010/09/07/republicans-have-one-in-four-chance-to-claim-senate-majority-model-shows/,"Republicans Have One-in-Four Chance to Claim Senate Majority, Model Shows",NATE SILVER,2010-09-08T01:48:12+00:00,https://fivethirtyeight.blogs.nytimes.com/feed/,20100908042122
http://fivethirtyeight.blogs.nytimes.com/2010/09/07/democrats-arent-running-from-health-care-but-what-are-they-running-on/,Democrats Aren't Running From Health Care. But What Are They Running On?,NATE SILVER,2010-09-07T13:02:45+00:00,https://fivethirtyeight.blogs.nytimes.com/feed/,20100908042122
http://fivethirtyeight.blogs.nytimes.com/2010/09/06/potential-for-double-dip-recession-seems-small/,Potential for Double-Dip Recession Seems Small,HALE STEWART,2010-09-06T16:13:02+00:00,https://fivethirtyeight.blogs.nytimes.com/feed/,20100908042122
http://fivethirtyeight.blogs.nytimes.com/2010/09/05/governor-forecasts-understanding-the-model/,Governor Forecasts: Understanding the Model,NATE SILVER,2010-09-05T14:06:07+00:00,https://fivethirtyeight.blogs.nytimes.com/feed/,20100908042122
http://fivethirtyeight.blogs.nytimes.com/2010/09/03/g-o-p-poised-to-control-30-governors-seats/,G.O.P. Poised to Control 30 Governor Seats,NATE SILVER,2010-09-03T21:09:21+00:00,https://fivethirtyeight.blogs.nytimes.com/feed/,20100908042122
